label,B10,B11,B1,B2,B3,B4,B5,B6,B7,B9
1.0,21910.0,20654.0,8225.0,7522.0,6607.0,5859.0,5458.0,5139.0,5086.0,5042.0
1.0,21983.0,20732.0,8226.0,7531.0,6595.0,5879.0,5454.0,5159.0,5094.0,5033.0
1.0,21870.0,20645.0,8220.0,7526.0,6599.0,5885.0,5463.0,5144.0,5088.0,5029.0
1.0,21809.0,20605.0,8233.0,7531.0,6589.0,5895.0,5457.0,5155.0,5084.0,5022.0
1.0,21776.0,20599.0,8247.0,7534.0,6603.0,5887.0,5456.0,5143.0,5080.0,5024.0
1.0,21752.0,20592.0,8226.0,7529.0,6609.0,5885.0,5465.0,5150.0,5074.0,5020.0
1.0,21732.0,20582.0,8224.0,7529.0,6600.0,5882.0,5465.0,5135.0,5091.0,5020.0
1.0,21725.0,20570.0,8222.0,7528.0,6602.0,5870.0,5472.0,5137.0,5079.0,5030.0
1.0,21739.0,20560.0,8228.0,7522.0,6603.0,5864.0,5450.0,5141.0,5080.0,5014.0
1.0,21759.0,20557.0,8220.0,7514.0,6603.0,5876.0,5446.0,5138.0,5073.0,5047.0
1.0,21784.0,20561.0,8218.0,7510.0,6608.0,5866.0,5452.0,5134.0,5081.0,5034.0
1.0,21808.0,20567.0,8227.0,7512.0,6606.0,5873.0,5464.0,5122.0,5060.0,5043.0
1.0,21816.0,20578.0,8226.0,7507.0,6611.0,5879.0,5460.0,5135.0,5076.0,5045.0
1.0,21810.0,20603.0,8218.0,7521.0,6609.0,5875.0,5457.0,5146.0,5074.0,5031.0
1.0,21887.0,20654.0,8221.0,7529.0,6604.0,5882.0,5449.0,5140.0,5088.0,5026.0
1.0,21940.0,20696.0,8225.0,7530.0,6616.0,5879.0,5466.0,5142.0,5087.0,5020.0
1.0,21845.0,20624.0,8226.0,7521.0,6610.0,5879.0,5454.0,5141.0,5086.0,5028.0
1.0,21795.0,20592.0,8216.0,7523.0,6600.0,5882.0,5457.0,5128.0,5084.0,5027.0
1.0,21769.0,20586.0,8208.0,7525.0,6603.0,5888.0,5450.0,5142.0,5081.0,5038.0
1.0,21749.0,20582.0,8223.0,7529.0,6606.0,5885.0,5447.0,5135.0,5089.0,5037.0
1.0,21731.0,20575.0,8218.0,7522.0,6608.0,5881.0,5449.0,5139.0,5092.0,5037.0
1.0,21724.0,20566.0,8223.0,7529.0,6601.0,5877.0,5457.0,5149.0,5089.0,5029.0
1.0,21732.0,20559.0,8222.0,7522.0,6602.0,5876.0,5449.0,5129.0,5085.0,5029.0
1.0,21749.0,20559.0,8209.0,7522.0,6606.0,5881.0,5446.0,5134.0,5076.0,5029.0
1.0,21772.0,20566.0,8209.0,7527.0,6590.0,5875.0,5445.0,5135.0,5078.0,5018.0
1.0,21798.0,20571.0,8213.0,7512.0,6603.0,5876.0,5441.0,5137.0,5077.0,5036.0
1.0,21827.0,20586.0,8203.0,7509.0,6611.0,5881.0,5452.0,5139.0,5083.0,5036.0
1.0,21864.0,20623.0,8215.0,7512.0,6608.0,5884.0,5452.0,5145.0,5083.0,5047.0
1.0,21919.0,20692.0,8221.0,7524.0,6603.0,5887.0,5461.0,5143.0,5089.0,5044.0
1.0,21908.0,20671.0,8223.0,7536.0,6610.0,5886.0,5476.0,5145.0,5078.0,5047.0
1.0,21826.0,20612.0,8222.0,7525.0,6603.0,5878.0,5439.0,5142.0,5078.0,5029.0
1.0,21785.0,20584.0,8227.0,7515.0,6600.0,5885.0,5450.0,5139.0,5078.0,5037.0
1.0,21765.0,20575.0,8207.0,7526.0,6611.0,5871.0,5461.0,5146.0,5075.0,5033.0
1.0,21752.0,20571.0,8227.0,7530.0,6601.0,5881.0,5460.0,5144.0,5083.0,5025.0
1.0,21741.0,20568.0,8227.0,7531.0,6601.0,5893.0,5461.0,5145.0,5091.0,5035.0
1.0,21737.0,20563.0,8220.0,7534.0,6601.0,5881.0,5458.0,5144.0,5098.0,5029.0
1.0,21741.0,20560.0,8236.0,7537.0,6605.0,5891.0,5464.0,5140.0,5094.0,5033.0
1.0,21753.0,20562.0,8225.0,7524.0,6605.0,5884.0,5447.0,5131.0,5078.0,5042.0
1.0,21773.0,20567.0,8208.0,7524.0,6594.0,5869.0,5445.0,5128.0,5071.0,5031.0
1.0,21796.0,20571.0,8232.0,7510.0,6592.0,5879.0,5458.0,5122.0,5077.0,5032.0
1.0,21827.0,20585.0,8202.0,7524.0,6609.0,5882.0,5458.0,5136.0,5079.0,5030.0
1.0,21880.0,20642.0,8217.0,7513.0,6607.0,5873.0,5438.0,5142.0,5081.0,5028.0
1.0,21959.0,20745.0,8212.0,7513.0,6613.0,5882.0,5472.0,5150.0,5094.0,5034.0
1.0,21880.0,20658.0,8221.0,7520.0,6610.0,5871.0,5456.0,5149.0,5083.0,5021.0
1.0,21812.0,20610.0,8226.0,7530.0,6603.0,5881.0,5444.0,5140.0,5084.0,5021.0
1.0,21779.0,20584.0,8230.0,7515.0,6599.0,5887.0,5454.0,5130.0,5084.0,5032.0
1.0,21765.0,20572.0,8224.0,7527.0,6615.0,5883.0,5467.0,5141.0,5078.0,5034.0
1.0,21761.0,20566.0,8230.0,7532.0,6600.0,5884.0,5454.0,5137.0,5078.0,5036.0
1.0,21757.0,20564.0,8239.0,7537.0,6616.0,5895.0,5473.0,5151.0,5090.0,5021.0
1.0,21757.0,20563.0,8234.0,7524.0,6602.0,5898.0,5477.0,5151.0,5089.0,5034.0
1.0,21759.0,20562.0,8218.0,7534.0,6615.0,5897.0,5470.0,5148.0,5089.0,5031.0
1.0,21766.0,20562.0,8242.0,7522.0,6593.0,5881.0,5461.0,5138.0,5083.0,5020.0
1.0,21778.0,20565.0,8197.0,7514.0,6621.0,5871.0,5445.0,5139.0,5076.0,5025.0
1.0,21795.0,20574.0,8228.0,7509.0,6593.0,5861.0,5439.0,5119.0,5076.0,5030.0
1.0,21818.0,20585.0,8206.0,7510.0,6600.0,5867.0,5460.0,5133.0,5084.0,5026.0
1.0,21860.0,20641.0,8232.0,7515.0,6616.0,5887.0,5455.0,5143.0,5086.0,5040.0
1.0,21989.0,20760.0,8195.0,7518.0,6598.0,5884.0,5454.0,5159.0,5108.0,5046.0
1.0,21856.0,20658.0,8223.0,7530.0,6597.0,5874.0,5446.0,5144.0,5077.0,5026.0
1.0,21802.0,20618.0,8231.0,7518.0,6589.0,5889.0,5454.0,5155.0,5083.0,5016.0
1.0,21776.0,20593.0,8212.0,7524.0,6599.0,5867.0,5456.0,5142.0,5086.0,5019.0
1.0,21768.0,20577.0,8209.0,7525.0,6602.0,5872.0,5463.0,5136.0,5088.0,5025.0
1.0,21771.0,20568.0,8222.0,7534.0,6591.0,5885.0,5450.0,5141.0,5086.0,5023.0
1.0,21775.0,20567.0,8219.0,7535.0,6600.0,5891.0,5459.0,5138.0,5092.0,5028.0
1.0,21781.0,20570.0,8235.0,7527.0,6601.0,5897.0,5453.0,5150.0,5087.0,5046.0
1.0,21785.0,20571.0,8233.0,7529.0,6603.0,5898.0,5448.0,5145.0,5088.0,5030.0
1.0,21788.0,20570.0,8230.0,7528.0,6601.0,5893.0,5448.0,5134.0,5080.0,5035.0
1.0,21793.0,20571.0,8226.0,7525.0,6601.0,5888.0,5443.0,5123.0,5076.0,5047.0
